Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,7,234,5939,2595,797,1084,.472,.274,.731,25.4,11.1,3.4,4.6,8.5,.069,-1.1,1.3
2,2,LAL,Lonzo Ball,UCLA,6,277,8705,3160,1531,1654,.398,.362,.585,31.4,11.4,5.5,6.0,12.3,.068,1.1,6.7
3,3,BOS,Jayson Tatum,Duke,8,556,19121,13017,4059,2045,.460,.373,.840,34.4,23.4,7.3,3.7,61.9,.155,3.7,27.6
4,4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,.416,.292,.680,23.1,11.3,4.0,1.8,-1.7,-.012,-3.8,-3.1
5,5,SAC,De'Aaron Fox,Kentucky,8,511,16981,10995,1996,3130,.470,.332,.744,33.2,21.5,3.9,6.1,33.0,.093,0.9,12.6
6,6,ORL,Jonathan Isaac,Florida State,6,246,5236,1973,1243,202,.444,.327,.753,21.3,8.0,5.1,0.8,12.6,.116,1.0,3.9
7,7,MIN,Lauri Markkanen,Arizona,8,436,13528,7959,3123,648,.456,.373,.867,31.0,18.3,7.2,1.5,33.4,.119,1.2,10.7
8,8,NYK,Frank Ntilikina,,7,321,5454,1535,563,693,.369,.320,.762,17.0,4.8,1.8,2.2,0.3,.003,-4.4,-3.4
9,9,DAL,Dennis Smith Jr.,NC State,7,326,7601,3160,967,1381,.407,.298,.674,23.3,9.7,3.0,4.2,2.3,.015,-2.1,-0.2
10,10,SAC,Zach Collins,Gonzaga,7,348,6573,2768,1638,624,.478,.333,.759,18.9,8.0,4.7,1.8,10.2,.074,-1.6,0.6
11,11,CHO,Malik Monk,Kentucky,8,495,11059,5992,1265,1506,.434,.353,.848,22.3,12.1,2.6,3.0,15.2,.066,-0.9,3.1
12,12,DET,Luke Kennard,Duke,8,428,10002,4266,1218,938,.456,.443,.880,23.4,10.0,2.8,2.2,22.4,.107,0.1,5.3
