,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,5,195,6172,4789,1292,817,.586,.326,.691,31.7,24.6,6.6,4.2,22.2,.172,4.5,10.2
2,2,MEM,Ja Morant,Murray State,6,284,9051,6342,1355,2111,.470,.317,.760,31.9,22.3,4.8,7.4,22.5,.120,2.8,11.0
3,3,NYK,RJ Barrett,Duke,6,366,12183,6888,2032,1176,.439,.346,.707,33.3,18.8,5.6,3.2,12.5,.049,-1.9,0.5
4,4,LAL,De'Andre Hunter,Virginia,6,294,8954,4331,1193,452,.448,.368,.818,30.5,14.7,4.1,1.5,9.6,.051,-3.0,-2.2
5,5,CLE,Darius Garland,Vanderbilt,6,351,11726,6615,910,2351,.455,.391,.866,33.4,18.8,2.6,6.7,22.1,.090,0.2,6.5
6,6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,.401,.276,.509,17.2,6.5,2.8,1.2,-0.1,-.001,-4.5,-1.6
7,7,CHI,Coby White,UNC,6,388,11421,5625,1402,1474,.429,.368,.852,29.4,14.5,3.6,3.8,15.2,.064,-1.7,0.8
8,8,ATL,Jaxson Hayes,Texas,6,333,5285,2222,1263,218,.635,.265,.709,15.9,6.7,3.8,0.7,17.5,.159,-0.5,2.0
9,9,WAS,Rui Hachimura,Gonzaga,6,315,8661,3993,1538,412,.493,.377,.764,27.5,12.7,4.9,1.3,13.4,.075,-2.1,-0.3
10,10,ATL,Cam Reddish,Duke,6,251,5829,2144,673,297,.399,.322,.823,23.2,8.5,2.7,1.2,3.2,.026,-3.1,-1.7
11,11,MIN,Cameron Johnson,UNC,6,318,8351,4004,1237,573,.454,.396,.845,26.3,12.6,3.9,1.8,20.9,.120,1.5,7.4
12,12,CHO,P.J. Washington,Kentucky,6,372,11367,4825,2155,833,.445,.355,.712,30.6,13.0,5.8,2.2,14.5,.061,-1.2,2.4
13,13,MIA,Tyler Herro,Kentucky,6,327,10554,6179,1640,1260,.445,.389,.873,32.3,18.9,5.0,3.9,17.2,.078,0.5,6.6
14,14,BOS,Romeo Langford,Indiana,4,141,2268,650,298,97,.430,.288,.659,16.1,4.6,2.1,0.7,2.0,.043,-3.4,-0.8
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,.388,.256,.693,17.1,5.6,2.8,0.7,-0.4,-.013,-6.5,-1.8
16,16,ORL,Chuma Okeke,Auburn,4,189,3832,1189,704,276,.383,.318,.789,20.3,6.3,3.7,1.5,4.4,.055,-1.1,0.9
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,6,344,6900,2860,805,764,.412,.361,.726,20.1,8.3,2.3,2.2,7.8,.054,-1.4,1.1
18,18,IND,Goga Bitadze,,6,285,4061,1575,1152,319,.536,.235,.673,14.2,5.5,4.0,1.1,12.7,.150,0.7,2.8
19,19,SAS,Luka Šamanić,,4,86,921,384,210,55,.411,.247,.706,10.7,4.5,2.4,0.6,0.0,.001,-5.6,-0.8
20,20,BOS,Matisse Thybulle,Washington,5,332,6957,1586,658,360,.435,.338,.679,21.0,4.8,2.0,1.1,13.2,.091,0.7,4.7
21,21,OKC,Brandon Clarke,Gonzaga,6,286,5984,2932,1573,386,.604,.267,.695,20.9,10.3,5.5,1.3,23.2,.186,2.4,6.7
22,22,BOS,Grant Williams,Tennessee,6,380,8710,2724,1393,552,.452,.377,.774,22.9,7.2,3.7,1.5,15.7,.086,-1.9,0.3
23,23,UTA,Darius Bazley,,5,237,5536,2113,1244,282,.414,.309,.677,23.4,8.9,5.2,1.2,3.1,.027,-2.4,-0.6
24,24,PHI,Ty Jerome,Virginia,6,201,3515,1563,392,548,.442,.371,.847,17.5,7.8,2.0,2.7,7.2,.099,-0.3,1.5
25,25,POR,Nassir Little,UNC,5,237,3735,1313,688,170,.452,.330,.735,15.8,5.5,2.9,0.7,4.7,.061,-2.6,-0.5
26,26,CLE,Dylan Windler,Belmont,4,101,1090,319,212,78,.425,.347,.800,10.8,3.2,2.1,0.8,1.6,.072,-1.4,0.2
27,27,BRK,Mfiondu Kabengele,Florida State,3,55,380,143,81,19,.383,.301,.852,6.9,2.6,1.5,0.3,0.4,.055,-3.6,-0.2
28,28,GSW,Jordan Poole,Michigan,6,381,10504,6342,1018,1432,.420,.344,.876,27.6,16.6,2.7,3.8,10.2,.047,-1.9,0.3
29,29,SAS,Keldon Johnson,Kentucky,6,333,9719,5263,1817,728,.464,.352,.761,29.2,15.8,5.5,2.2,15.2,.075,-1.3,1.6
30,30,MIL,Kevin Porter Jr.,USC,5,236,6723,3387,981,1119,.429,.348,.717,28.5,14.4,4.2,4.7,4.3,.031,-1.6,0.6
31,31,BRK,Nic Claxton,Georgia,6,280,7170,2870,2179,456,.642,.125,.541,25.6,10.3,7.8,1.6,23.8,.159,1.4,6.1
32,32,PHO,KZ Okpala,Stanford,4,98,965,222,148,47,.409,.286,.667,9.8,2.3,1.5,0.5,1.0,.050,-4.7,-0.7
33,33,PHI,Carsen Edwards,Purdue,3,72,706,267,79,52,.364,.297,.758,9.8,3.7,1.1,0.7,0.3,.019,-5.1,-0.5
34,34,PHI,Bruno Fernando,Maryland,6,220,2326,872,712,161,.543,.122,.653,10.6,4.0,3.2,0.7,3.8,.078,-3.0,-0.6
35,35,ATL,Didi Louzada,,2,12,185,43,20,8,.326,.355,1.000,15.4,3.6,1.7,0.7,-0.1,-.034,-8.1,-0.3
36,36,CHO,Cody Martin,Nevada,6,245,5472,1541,913,564,.440,.319,.658,22.3,6.3,3.7,2.3,7.5,.066,-1.6,0.6
37,37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,.300,.314,.500,7.0,1.9,1.5,0.3,-0.1,-.032,-5.9,-0.2
38,38,CHI,Daniel Gafford,Arkansas,6,365,7185,3338,2026,373,.709,.000,.673,19.7,9.1,5.6,1.0,29.9,.200,1.9,7.0
39,39,NOP,Alen Smailagić,,2,29,223,87,43,17,.463,.304,.720,7.7,3.0,1.5,0.6,0.3,.056,-3.3,-0.1
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,.446,.343,.544,7.5,3.2,0.9,0.6,0.3,.024,-3.1,-0.2
41,41,GSW,Eric Paschall,Villanova,3,158,3086,1552,509,214,.494,.326,.758,19.5,9.8,3.2,1.4,5.0,.078,-2.2,-0.1
