Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
Justin Wright-Foreman,948,UTA,2,53,2019,Hofstra,2018-19,Hofstra,35,35,37.7,9.4,18.5,6.3,11.1,3.1,7.4,5.1,5.9,0.3,3.7,4.0,2.9,0.9,0.2,2.6,1.9,27.1,.511,.568,.425,.864,.637,.596,G,SR,justin-wright-foreman-1
Carsen Edwards,874,PHI,2,33,2019,Purdue,2018-19,Purdue,36,36,35.4,7.7,19.5,3.9,9.0,3.8,10.6,5.1,6.1,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3,.394,.440,.355,.837,.541,.490,G,JR,carsen-edwards-1
R.J. Barrett,860,NYK,1,3,2019,Duke,2018-19,Duke,38,38,35.3,8.4,18.5,6.5,12.2,1.9,6.2,3.9,5.9,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,.454,.529,.308,.665,.532,.506,F,FR,rj-barrett-1
Ja Morant,808,MEM,1,2,2019,Murray State,2018-19,Murray State,33,33,36.6,8.0,16.1,6.3,11.3,1.7,4.8,6.7,8.2,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5,.499,.556,.363,.813,.612,.553,G,SO,temetrius-morant-1
Zion Williamson,746,NOH,1,1,2019,Duke,2018-19,Duke,33,33,30.0,9.0,13.2,8.2,11.0,0.7,2.2,3.9,6.2,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,.680,.747,.338,.640,.702,.708,F,FR,zion-williamson-1
Rui Hachimura,729,WAS,1,9,2019,Gonzaga,2018-19,Gonzaga,37,37,30.2,7.4,12.6,7.0,11.6,0.4,1.0,4.4,6.0,1.4,5.1,6.5,1.5,0.9,0.7,1.8,2.0,19.7,.591,.606,.417,.739,.639,.608,F,JR,rui-hachimura-1
Justin James,706,SAC,2,40,2019,Wyoming,2018-19,Wyoming,32,32,38.2,7.1,17.4,5.6,12.1,1.6,5.3,6.3,8.4,1.0,7.5,8.5,4.4,1.5,0.6,4.2,2.1,22.1,.409,.459,.296,.741,.515,.454,G,SR,justin-james-2
Jarrett Culver,704,PHO,1,6,2019,Texas Tech,2018-19,Texas Tech,38,38,32.5,6.7,14.5,5.4,10.3,1.3,4.2,3.9,5.5,1.4,5.0,6.4,3.7,1.5,0.6,2.7,1.9,18.5,.461,.526,.304,.707,.542,.505,G,SO,jarrett-culver-1
Dylan Windler,702,CLE,1,26,2019,Belmont,2018-19,Belmont,33,33,33.2,7.4,13.6,4.3,6.6,3.0,7.1,3.5,4.2,1.9,8.9,10.8,2.5,1.4,0.6,2.1,2.1,21.3,.540,.659,.429,.847,.681,.651,F,SR,dylan-windler-1
Grant Williams,696,BOS,1,22,2019,Tennessee,2018-19,Tennessee,37,37,31.9,6.3,11.2,5.9,10.0,0.4,1.2,5.8,7.0,2.2,5.3,7.5,3.2,1.1,1.5,2.2,3.0,18.8,.564,.593,.326,.819,.646,.582,F,JR,grant-williams-1
Jarrell Brantley,640,IND,2,50,2019,College of Charleston,2018-19,College of Charleston,33,33,34.0,7.2,13.9,6.0,10.4,1.2,3.5,3.9,4.9,1.7,6.7,8.4,2.4,1.4,0.9,2.6,2.7,19.4,.517,.582,.328,.785,.598,.559,F,SR,jarrell-brantley-1
Marial Shayok,637,PHI,2,54,2019,Iowa State,2018-19,Iowa State,34,34,32.9,6.7,13.6,4.6,8.2,2.1,5.4,3.2,3.6,1.4,3.5,4.9,2.0,0.9,0.2,2.7,2.1,18.7,.496,.568,.386,.878,.612,.573,G,SR,marial-shayok-1
Quinndary Weatherspoon,629,SAS,2,49,2019,Mississippi State,2018-19,Mississippi State,34,34,34.0,6.3,12.3,4.6,8.2,1.6,4.1,4.4,5.4,1.3,3.4,4.7,2.8,1.7,0.3,2.9,2.1,18.5,.508,.564,.396,.809,.622,.574,G,SR,quinndary-weatherspoon-1
Brandon Clarke,627,OKC,1,21,2019,Gonzaga,2018-19,Gonzaga,37,36,28.1,6.9,10.1,6.8,9.7,0.1,0.4,2.9,4.2,3.1,5.5,8.6,1.9,1.2,3.2,1.5,2.1,16.9,.687,.705,.267,.694,.699,.693,F,JR,brandon-clarke-1
Admiral Schofield,610,PHI,2,42,2019,Tennessee,2018-19,Tennessee,37,37,31.8,6.4,13.6,4.4,8.8,2.0,4.8,1.6,2.3,1.2,5.0,6.1,2.0,0.9,0.5,1.9,2.5,16.5,.474,.505,.418,.698,.562,.548,G,SR,admiral-schofield-1
Cameron Johnson,608,MIN,1,11,2019,North Carolina,2018-19,North Carolina,36,36,29.9,5.9,11.6,3.2,5.8,2.7,5.8,2.5,3.1,1.8,3.9,5.8,2.4,1.2,0.3,1.5,1.5,16.9,.506,.556,.457,.818,.648,.621,G,SR,cameron-johnson-4
Eric Paschall,595,GSW,2,41,2019,Villanova,2018-19,Villanova,36,36,36.1,5.4,12.1,3.5,6.5,1.9,5.6,3.8,5.0,1.3,4.9,6.1,2.1,0.7,0.5,2.3,2.1,16.5,.447,.532,.348,.746,.570,.528,F,SR,eric-paschall-1
Kyle Guy,586,NYK,2,55,2019,Virginia,2018-19,Virginia,38,38,35.4,5.2,11.6,2.1,4.2,3.2,7.4,1.8,2.2,0.7,3.8,4.5,2.1,0.7,0.1,1.4,1.0,15.4,.449,.491,.426,.833,.609,.585,G,JR,kyle-guy-1
Jaylen Nowell,582,MIN,2,43,2019,Washington,2018-19,Washington,36,36,34.4,6.1,12.1,4.6,8.8,1.4,3.2,2.6,3.4,1.0,4.3,5.3,3.1,1.3,0.3,2.9,2.3,16.2,.502,.525,.440,.779,.592,.561,G,SO,jaylen-nowell-1
De'Andre Hunter,579,LAL,1,4,2019,Virginia,2018-19,Virginia,38,38,32.5,5.4,10.4,4.2,7.6,1.2,2.8,3.2,4.1,1.4,3.7,5.1,2.0,0.6,0.6,1.4,2.0,15.2,.520,.550,.438,.783,.618,.579,G,SO,deandre-hunter-1
Coby White,562,CHI,1,7,2019,North Carolina,2018-19,North Carolina,35,35,28.5,5.4,12.7,3.0,6.1,2.3,6.6,3.0,3.7,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,.423,.500,.353,.800,.556,.516,G,FR,coby-white-1
Nickeil Alexander-Walker,550,NJN,1,17,2019,Virginia Tech,2018-19,Virginia Tech,34,34,34.3,5.6,11.8,3.9,7.2,1.7,4.6,3.3,4.2,0.5,3.6,4.1,4.0,1.9,0.5,2.9,2.3,16.2,.474,.537,.374,.778,.586,.546,G,SO,nickeil-alexander-walker-1
Ignas Brazdeikis,548,SAC,2,47,2019,Michigan,2018-19,Michigan,37,37,29.6,5.1,11.0,3.6,7.1,1.5,3.9,3.1,4.1,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,.462,.500,.392,.773,.573,.531,F,FR,ignas-brazdeikis-1
Daniel Gafford,542,CHI,2,38,2019,Arkansas,2018-19,Arkansas,32,32,28.7,6.7,10.1,6.7,10.1,0.0,0.0,3.6,6.0,2.8,5.8,8.7,0.7,0.9,2.0,2.4,2.8,16.9,.660,.660,,.591,.652,.660,F,SO,daniel-gafford-1
Jalen McDaniels,541,CHA,2,52,2019,San Diego State,2018-19,San Diego State,34,34,31.0,6.2,13.4,5.5,11.2,0.7,2.2,2.7,3.7,2.0,6.3,8.3,2.1,1.1,0.5,2.4,2.9,15.9,.466,.495,.320,.732,.525,.492,F,SO,jalen-mcdaniels-1
PJ Washington,531,CHA,1,12,2019,Kentucky,2018-19,Kentucky,35,33,29.3,5.4,10.4,4.5,8.2,0.9,2.2,3.4,5.1,2.3,5.2,7.5,1.8,0.8,1.2,2.0,2.5,15.2,.522,.549,.423,.663,.592,.567,F,SO,pj-washington-1
Romeo Langford,528,BOS,1,14,2019,Indiana,2018-19,Indiana,32,32,34.1,5.5,12.3,4.5,8.4,1.1,3.9,4.4,6.1,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,.448,.530,.272,.722,.542,.491,G,FR,romeo-langford-1
Tyler Herro,519,MIA,1,13,2019,Kentucky,2018-19,Kentucky,37,37,32.6,5.0,10.9,3.4,6.3,1.6,4.6,2.4,2.5,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0,.462,.538,.355,.935,.580,.536,G,FR,tyler-herro-1
Tremont Waters,504,BOS,2,51,2019,Louisiana State,2018-19,Louisiana State,33,29,32.4,5.2,12.1,3.5,6.9,1.7,5.2,3.2,3.9,0.3,2.5,2.8,5.8,2.9,0.1,3.5,1.9,15.3,.430,.507,.327,.813,.547,.500,G,SO,tremont-waters-1
Ty Jerome,502,PHI,1,24,2019,Virginia,2018-19,Virginia,37,37,33.9,4.8,11.1,2.7,5.7,2.1,5.4,1.8,2.5,0.5,3.8,4.2,5.5,1.5,0.0,1.6,1.7,13.6,.435,.469,.399,.736,.555,.532,G,JR,ty-jerome-1
Jordan Bone,498,NOH,2,57,2019,Tennessee,2018-19,Tennessee,37,37,32.9,5.0,10.8,3.7,7.0,1.4,3.8,2.1,2.5,0.5,2.7,3.2,5.8,0.7,0.1,2.0,1.3,13.5,.465,.525,.355,.835,.562,.528,G,JR,jordan-bone-1
Keldon Johnson,498,SAS,1,29,2019,Kentucky,2018-19,Kentucky,37,36,30.7,4.6,10.1,3.4,6.9,1.2,3.2,2.9,4.2,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,.461,.498,.381,.703,.558,.521,G,FR,keldon-johnson-1
Miye Oni,497,GSW,2,58,2019,Yale,2018-19,Yale,29,28,31.0,5.8,13.1,3.8,7.9,1.9,5.2,3.7,4.7,0.7,5.6,6.3,3.6,0.9,1.3,2.6,2.7,17.1,.441,.487,.371,.793,.561,.515,G,JR,miye-oni-1
Mfiondu Kabengele,489,NJN,1,27,2019,Florida State,2018-19,Florida State,37,0,21.6,4.4,8.8,3.8,7.1,0.6,1.8,3.7,4.9,2.1,3.8,5.9,0.3,0.6,1.5,1.3,2.6,13.2,.502,.534,.369,.761,.593,.538,F,SO,mfiondu-kabengele-1
Kezie Okpala,488,PHO,2,32,2019,Stanford,2018-19,Stanford,29,29,32.7,5.9,12.7,4.8,9.7,1.1,3.0,4.0,6.0,1.2,4.5,5.7,2.0,1.0,0.5,2.9,2.5,16.8,.463,.493,.368,.671,.543,.507,F,SO,kezie-okpala-1
Cam Reddish,485,ATL,1,10,2019,Duke,2018-19,Duke,36,35,29.7,4.3,12.0,1.8,4.6,2.5,7.4,2.4,3.2,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,.356,.394,.333,.772,.499,.459,F,FR,cam-reddish-1
Jordan Poole,472,GSW,1,28,2019,Michigan,2018-19,Michigan,37,37,33.1,4.4,10.0,2.3,4.5,2.0,5.5,2.0,2.4,0.2,2.8,3.0,2.2,1.1,0.2,1.5,2.0,12.8,.436,.518,.369,.833,.573,.538,G,SO,jordan-poole-1
Jaylen Hands,467,LAC,2,56,2019,UCLA,2018-19,UCLA,33,33,31.2,4.8,11.6,2.8,6.2,2.0,5.4,2.6,3.3,0.4,3.3,3.7,6.1,1.3,0.2,3.2,1.2,14.2,.413,.447,.373,.780,.537,.499,G,SO,jaylen-hands-1
Bruno Fernando,462,PHI,2,34,2019,Maryland,2018-19,Maryland,34,33,30.0,5.1,8.4,5.0,8.1,0.1,0.3,3.3,4.3,2.9,7.7,10.6,2.0,0.6,1.9,2.8,2.7,13.6,.607,.618,.300,.779,.653,.612,F,SO,bruno-fernando-1
Chuma Okeke,456,ORL,1,16,2019,Auburn,2018-19,Auburn,38,38,29.1,4.4,8.9,3.0,5.2,1.4,3.7,1.7,2.4,2.8,4.1,6.8,1.9,1.8,1.2,1.7,1.9,12.0,.496,.574,.387,.722,.597,.577,F,SO,chuma-okeke-1
Terance Mann,422,LAC,2,48,2019,Florida State,2018-19,Florida State,37,36,31.7,4.0,7.9,3.2,5.8,0.8,2.1,2.6,3.4,2.5,4.0,6.5,2.5,0.7,0.3,1.8,2.2,11.4,.505,.547,.390,.790,.603,.557,G,SR,terance-mann-1
Nicolas Claxton,415,NJN,2,31,2019,Georgia,2018-19,Georgia,32,32,31.6,4.3,9.3,3.7,7.3,0.6,2.0,3.8,6.0,2.3,6.3,8.6,1.8,1.1,2.5,2.1,2.8,13.0,.460,.509,.281,.641,.533,.490,F,SO,nicolas-claxton-1
Isaiah Roby,414,DET,2,45,2019,Nebraska,2018-19,Nebraska,35,35,31.2,4.2,9.3,3.4,6.9,0.8,2.4,2.6,3.8,1.9,5.0,6.9,1.9,1.3,1.9,2.0,3.2,11.8,.454,.496,.333,.677,.532,.497,F,JR,isaiah-roby-1
Talen Horton-Tucker,414,ORL,2,46,2019,Iowa State,2018-19,Iowa State,35,34,27.2,4.4,10.9,3.0,6.4,1.4,4.5,1.6,2.5,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,.406,.475,.308,.625,.488,.470,G,FR,talen-horton-tucker-1
Cody Martin,410,CHA,2,36,2019,Nevada,2018-19,Nevada,34,34,34.4,4.4,8.8,3.4,6.0,1.0,2.8,2.2,2.9,0.9,3.5,4.5,4.9,1.4,0.7,1.9,2.5,12.1,.505,.574,.358,.763,.594,.562,F,SR,cody-martin-1
Dewan Hernandez,365,TOR,2,59,2019,Miami (FL),2017-18,Miami (FL),32,32,825,147,255,147,252,0,3,71,103,65,148,213,14,16,31,44,60,365,.576,.583,.000,.689,.600,.576,F,SO,dewan-huell-1
Nassir Little,353,POR,1,25,2019,North Carolina,2018-19,North Carolina,36,0,18.2,3.6,7.6,3.3,6.2,0.4,1.4,2.1,2.8,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,.478,.527,.269,.770,.549,.504,F,FR,nassir-little-1
Matisse Thybulle,327,BOS,1,20,2019,Washington,2018-19,Washington,36,36,31.1,3.1,7.5,1.8,3.3,1.3,4.2,1.6,1.9,0.8,2.3,3.1,2.1,3.5,2.3,1.8,2.8,9.1,.415,.555,.305,.851,.542,.500,G,SR,matisse-thybulle-1
Jaxson Hayes,320,ATL,1,8,2019,Texas,2018-19,Texas,32,21,23.3,3.8,5.3,3.8,5.3,0.0,0.0,2.3,3.1,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,.728,.728,,.740,.739,.728,F,FR,jaxson-hayes-1
Kevin Porter Jr.,200,MIL,1,30,2019,Southern California,2018-19,Southern California,21,4,22.1,3.5,7.5,2.2,4.2,1.3,3.2,1.1,2.2,1.0,3.0,4.0,1.4,0.8,0.5,1.9,2.1,9.5,.471,.517,.412,.522,.559,.561,G,FR,kevin-porterjr-1
