Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,5,347,12042,8105,1822,1439,.446,.365,.798,34.7,23.4,5.3,4.1,20.4,.081,1.2,9.8
2,2,GSW,James Wiseman,Memphis,4,148,2799,1350,830,110,.560,.262,.683,18.9,9.1,5.6,0.7,4.3,.074,-3.9,-1.4
3,3,CHO,LaMelo Ball,,5,214,6893,4541,1310,1589,.425,.366,.832,32.2,21.2,6.1,7.4,14.0,.097,3.1,8.9
4,4,CHI,Patrick Williams,Florida State,5,249,6860,2398,1027,358,.454,.398,.784,27.6,9.6,4.1,1.4,8.1,.056,-2.1,-0.3
5,5,CLE,Isaac Okoro,Auburn,5,307,8244,2532,858,514,.464,.352,.731,26.9,8.2,2.8,1.7,14.8,.086,-2.1,-0.2
6,6,ATL,Onyeka Okongwu,USC,5,271,5778,2423,1694,300,.624,.292,.756,21.3,8.9,6.3,1.1,21.2,.176,0.4,3.5
7,7,DET,Killian Hayes,,4,210,5479,1704,619,1090,.382,.277,.775,26.1,8.1,2.9,5.2,-0.5,-.004,-3.9,-2.7
8,8,NYK,Obi Toppin,Dayton,5,325,5500,2662,1080,369,.523,.352,.775,16.9,8.2,3.3,1.1,14.9,.130,1.1,4.3
9,9,WAS,Deni Avdija,,5,330,8754,3452,1994,876,.459,.330,.744,26.5,10.5,6.0,2.7,11.4,.063,-1.5,1.2
10,10,PHO,Jalen Smith,Maryland,5,249,4043,2110,1303,192,.509,.337,.754,16.2,8.5,5.2,0.8,11.0,.131,-0.4,1.7
11,11,SAS,Devin Vassell,Florida State,5,267,7254,3693,994,692,.444,.370,.806,27.2,13.8,3.7,2.6,10.8,.071,-0.4,3.0
12,12,SAC,Tyrese Haliburton,Iowa State,5,304,10055,5275,1117,2655,.474,.388,.857,33.1,17.4,3.7,8.7,32.4,.155,4.4,16.3
13,13,NOP,Kira Lewis Jr.,Alabama,4,131,1745,687,169,233,.397,.294,.848,13.3,5.2,1.3,1.8,1.3,.036,-3.5,-0.6
14,14,BOS,Aaron Nesmith,Vanderbilt,5,253,5250,2117,803,260,.456,.377,.811,20.8,8.4,3.2,1.0,8.0,.073,-2.2,-0.2
15,15,ORL,Cole Anthony,UNC,5,295,7386,3737,1287,1143,.417,.339,.844,25.0,12.7,4.4,3.9,9.4,.061,-0.8,2.2
16,16,POR,Isaiah Stewart,Washington,5,276,6957,2423,2024,356,.499,.341,.739,25.2,8.8,7.3,1.3,13.5,.093,-2.0,0.1
17,17,MIN,Aleksej Pokusevski,,4,168,3429,1253,778,327,.391,.304,.702,20.4,7.5,4.6,1.9,-0.2,-.002,-3.1,-1.0
18,18,DAL,Josh Green,Arizona,5,263,5653,1725,721,398,.488,.381,.690,21.5,6.6,2.7,1.5,9.1,.077,-2.6,-0.9
19,19,BRK,Saddiq Bey,Villanova,4,292,8804,4103,1532,538,.408,.352,.842,30.2,14.1,5.2,1.8,14.6,.079,-0.7,2.9
