Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class
Malik Monk,754,CHA,1,11,2017,Kentucky,2016-17,Kentucky,38,37,32.1,6.6,14.7,3.9,7.8,2.7,6.9,3.9,4.7,0.3,2.2,2.5,2.3,0.9,0.5,2.0,1.9,19.8,0.45,0.497,0.397,0.822,0.586,0.543,G,FR
Frank Mason,753,SAC,2,34,2017,Kansas,2016-17,Kansas,36,36,36.1,6.7,13.7,4.4,8.8,2.3,4.8,5.3,6.6,0.6,3.6,4.2,5.2,1.3,0.1,2.4,2.0,20.9,0.49,0.5,0.471,0.794,0.622,0.573,G,SR
Justin Jackson,731,POR,1,15,2017,North Carolina,2016-17,North Carolina,40,39,32.0,6.6,14.9,4.0,7.8,2.6,7.1,2.5,3.3,1.5,3.2,4.7,2.8,0.8,0.2,1.7,1.4,18.3,0.443,0.51,0.37,0.748,0.555,0.531,F,JR
Luke Kennard,722,DET,1,12,2017,Duke,2016-17,Duke,37,36,35.5,6.4,13.1,4.0,7.7,2.4,5.4,4.3,5.1,1.2,3.9,5.1,2.5,0.8,0.4,1.6,2.2,19.5,0.489,0.525,0.438,0.856,0.629,0.579,G,SO
Josh Hart,673,UTA,1,30,2017,Villanova,2016-17,Villanova,36,35,33.1,6.6,12.9,4.5,7.8,2.1,5.1,3.5,4.7,1.4,5.0,6.4,2.9,1.6,0.3,2.0,2.3,18.7,0.51,0.579,0.404,0.747,0.619,0.59,G,SR
Alec Peters,666,PHO,2,54,2017,Valparaiso,2016-17,Valparaiso,29,29,35.1,7.5,16.1,5.5,10.6,2.0,5.5,5.9,6.7,2.6,7.6,10.1,2.2,0.8,0.4,2.4,2.2,23.0,0.466,0.519,0.363,0.887,0.594,0.528,F,SR
Semi Ojeleye,665,BOS,2,37,2017,SMU,2016-17,SMU,35,35,34.1,6.0,12.3,3.9,7.4,2.1,4.9,4.9,6.3,2.3,4.6,6.9,1.5,0.4,0.4,1.4,1.8,19.0,0.487,0.529,0.424,0.785,0.621,0.572,F,JR
Sindarius Thornwell,663,MIL,2,48,2017,South Carolina,2016-17,South Carolina,31,31,33.9,6.3,14.2,4.4,9.4,1.9,4.8,6.9,8.4,2.5,4.6,7.1,2.8,2.1,1.0,2.5,2.3,21.4,0.444,0.471,0.392,0.83,0.59,0.51,G,SR
Caleb Swanigan,646,POR,1,26,2017,Purdue,2016-17,Purdue,35,35,32.5,6.3,12.0,5.3,9.6,1.1,2.4,4.7,6.0,2.7,9.7,12.5,3.1,0.4,0.8,3.4,2.8,18.5,0.527,0.548,0.447,0.781,0.62,0.572,F,SO
Nigel Williams-Goss,640,UTA,2,55,2017,Gonzaga,2016-17,Gonzaga,38,38,32.8,5.8,11.9,4.7,8.8,1.1,3.1,4.1,4.8,0.6,5.4,6.0,4.7,1.7,0.1,2.1,1.6,16.8,0.486,0.527,0.368,0.867,0.594,0.533,G,JR
John Collins,632,ATL,1,19,2017,Wake Forest,2016-17,Wake Forest,33,33,26.6,7.1,11.4,7.1,11.4,0.0,0.0,5.0,6.7,3.8,6.1,9.8,0.5,0.6,1.6,1.8,3.0,19.2,0.622,0.624,0.0,0.745,0.658,0.622,F,SO
Derrick White,615,SAS,1,29,2017,Colorado,2016-17,Colorado,34,32,32.8,6.0,11.9,4.4,7.6,1.7,4.2,4.4,5.4,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,0.507,0.569,0.396,0.813,0.627,0.578,G,SR
Jawun Evans,613,PHI,2,39,2017,Oklahoma State,2016-17,Oklahoma State,32,32,29.3,6.6,15.1,5.5,12.1,1.1,3.0,4.8,6.0,0.8,2.7,3.4,6.4,1.8,0.1,2.8,2.3,19.2,0.438,0.452,0.379,0.812,0.535,0.475,G,SO
Dwayne Bacon,603,NOH,2,40,2017,Florida State,2016-17,Florida State,35,35,28.8,6.3,14.0,4.7,9.1,1.6,4.9,3.0,3.9,1.0,3.2,4.2,1.7,1.0,0.1,2.0,1.6,17.2,0.452,0.516,0.333,0.754,0.544,0.51,G,SO
De'Aaron Fox,601,SAC,1,5,2017,Kentucky,2016-17,Kentucky,36,34,29.6,5.9,12.4,5.5,10.5,0.5,1.9,4.3,5.9,0.6,3.4,4.0,4.6,1.5,0.2,2.4,2.5,16.7,0.479,0.521,0.246,0.736,0.549,0.498,G,FR
Jaron Blossomgame,584,SAS,2,59,2017,Clemson,2016-17,Clemson,33,33,34.3,6.7,13.4,5.9,10.5,0.7,2.8,3.6,5.1,1.8,4.5,6.3,1.5,0.8,0.9,1.7,1.6,17.7,0.499,0.565,0.255,0.714,0.561,0.526,F,SR
Dennis Smith Jr.,580,DAL,1,9,2017,NC State,2016-17,NC State,32,32,34.8,6.0,13.1,4.3,8.3,1.7,4.8,4.5,6.3,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,0.455,0.509,0.359,0.715,0.563,0.52,G,FR
Markelle Fultz,579,PHI,1,1,2017,Washington,2016-17,Washington,25,25,35.7,8.4,17.6,6.3,12.5,2.1,5.0,4.4,6.7,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,0.476,0.502,0.413,0.649,0.558,0.535,G,FR
Lauri Markkanen,576,MIN,1,7,2017,Arizona,2016-17,Arizona,37,37,30.8,5.0,10.2,3.1,5.8,1.9,4.4,3.7,4.4,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2.0,15.6,0.492,0.545,0.423,0.835,0.635,0.584,F,FR
Monte Morris,575,DEN,2,51,2017,Iowa State,2016-17,Iowa State,35,35,35.3,6.2,13.3,4.6,9.2,1.5,4.1,2.5,3.2,1.1,3.7,4.8,6.2,1.5,0.3,1.2,1.5,16.4,0.465,0.503,0.378,0.802,0.555,0.523,G,SR
Josh Jackson,572,PHO,1,4,2017,Kansas,2016-17,Kansas,35,35,30.8,6.3,12.3,5.3,9.7,1.0,2.6,2.8,4.9,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3,0.513,0.549,0.378,0.566,0.559,0.552,G,FR
Tyler Dorsey,571,ATL,2,41,2017,Oregon,2016-17,Oregon,39,39,30.0,4.8,10.4,2.6,5.1,2.3,5.3,2.7,3.6,0.8,2.6,3.5,1.7,0.8,0.1,1.5,1.5,14.6,0.467,0.513,0.423,0.755,0.606,0.575,G,SO
TJ Leaf,569,IND,1,18,2017,UCLA,2016-17,UCLA,35,35,29.9,6.7,10.9,5.9,9.2,0.8,1.7,2.1,3.0,2.2,6.0,8.2,2.4,0.6,1.1,1.5,2.5,16.3,0.617,0.644,0.466,0.679,0.66,0.652,F,FR
Dillon Brooks,564,HOU,2,45,2017,Oregon,2016-17,Oregon,35,27,25.3,5.9,12.1,4.3,8.0,1.6,4.1,2.7,3.6,1.0,2.2,3.2,2.7,1.1,0.5,2.1,2.8,16.1,0.488,0.532,0.401,0.754,0.585,0.556,F,JR
Damyean Dotson,556,NYK,2,44,2017,Oregon,2016-17,Houston,32,32,34.3,6.3,13.4,2.9,5.8,3.4,7.6,1.4,1.7,1.5,5.4,6.9,1.1,0.9,0.2,1.0,1.7,17.4,0.47,0.505,0.443,0.83,0.611,0.595,G,SR
Donovan Mitchell,529,DEN,1,13,2017,Louisville,2016-17,Louisville,34,33,32.3,5.3,13.1,3.0,6.4,2.4,6.6,2.6,3.2,1.1,3.8,4.9,2.7,2.1,0.5,1.6,2.6,15.6,0.408,0.463,0.354,0.806,0.534,0.498,G,SO
Lonzo Ball,524,LAL,1,2,2017,UCLA,2016-17,UCLA,36,36,35.1,5.3,9.5,3.0,4.1,2.2,5.4,1.8,2.7,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,0.551,0.732,0.412,0.673,0.673,0.668,G,FR
