Player,yr1.2P,yr1.2P%,yr1.2PA,yr1.3P,yr1.3P%,yr1.3PA,yr1.AST,yr1.BLK,yr1.DRB,yr1.FG,yr1.FG%,yr1.FGA,yr1.FT,yr1.FT%,yr1.FTA,yr1.G,yr1.GS,yr1.MP,yr1.ORB,yr1.PF,yr1.PTS,yr1.Pos,yr1.STL,yr1.TOV,yr1.TRB,yr1.Team,yr1.eFG%,yr2.2P,yr2.2P%,yr2.2PA,yr2.3P,yr2.3P%,yr2.3PA,yr2.AST,yr2.BLK,yr2.DRB,yr2.FG,yr2.FG%,yr2.FGA,yr2.FT,yr2.FT%,yr2.FTA,yr2.G,yr2.GS,yr2.MP,yr2.ORB,yr2.PF,yr2.PTS,yr2.Pos,yr2.STL,yr2.TOV,yr2.TRB,yr2.Team,yr2.eFG%,yr3.2P,yr3.2P%,yr3.2PA,yr3.3P,yr3.3P%,yr3.3PA,yr3.AST,yr3.BLK,yr3.DRB,yr3.FG,yr3.FG%,yr3.FGA,yr3.FT,yr3.FT%,yr3.FTA,yr3.G,yr3.GS,yr3.MP,yr3.ORB,yr3.PF,yr3.PTS,yr3.Pos,yr3.STL,yr3.TOV,yr3.TRB,yr3.Team,yr3.eFG%
A.J. Green,0.5,0.612,0.8,0.7,0.333,2.0,0.3,0.2,0.5,1.1,0.414,2.8,0.1,0.9,0.2,61.0,12.0,12.5,0.3,1.4,3.1,SG,0.4,0.2,0.8,OKC,0.533,1.1,0.56,1.9,1.4,0.366,3.9,1.0,0.2,1.5,2.5,0.429,5.8,0.5,0.725,0.7,74.0,74.0,26.1,0.4,3.1,6.9,SG,0.5,0.6,1.9,OKC,0.552,0.5,0.558,0.9,0.9,0.292,3.0,0.9,0.3,0.9,1.4,0.355,3.9,0.3,0.75,0.4,56.0,38.0,22.4,0.4,2.8,3.9,SF,0.5,0.6,1.3,OKC,0.466
A.J. Lawson,1.4,0.504,2.8,0.1,0.167,0.5,0.3,0.2,1.2,1.5,0.455,3.2,0.7,0.61,1.2,51.0,3.0,10.3,0.7,1.5,3.7,SG,0.4,0.5,1.9,OKC,0.467,2.5,0.485,5.2,0.3,0.281,1.2,0.8,0.2,2.7,2.9,0.446,6.4,0.8,0.603,1.4,46.0,3.0,19.5,1.0,2.2,6.9,SF,0.8,1.1,3.6,OKC,0.473,3.8,0.505,7.5,0.5,0.341,1.6,1.9,0.5,4.1,4.3,0.477,9.0,2.5,0.64,3.8,52.0,9.0,23.6,1.1,2.6,11.6,SF,0.8,1.5,5.2,2TM,0.506
AJ Griffin,2.2,0.553,3.9,0.8,0.325,2.5,1.2,0.6,3.2,3.0,0.464,6.4,0.7,0.753,1.0,80.0,25.0,21.2,0.8,1.4,7.5,SF,0.7,0.6,4.0,CHO,0.527,3.4,0.486,7.0,1.5,0.33,4.6,1.8,0.7,4.2,4.9,0.424,11.6,1.6,0.809,2.0,65.0,64.0,30.7,1.4,2.0,13.0,SF,0.6,1.5,5.6,CHO,0.489,3.0,0.593,5.0,1.8,0.4,4.4,2.2,0.8,4.8,4.7,0.503,9.4,1.5,0.867,1.7,66.0,19.0,29.3,1.2,2.2,12.7,PF,0.7,1.6,6.0,CHO,0.596
Aaron Gordon,0.1,0.125,0.5,0.4,0.412,1.1,1.0,0.2,0.9,0.5,0.32,1.6,0.4,1.0,0.4,16.0,0.0,9.2,0.1,0.4,1.8,PG,0.4,0.1,1.0,MIA,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.533,0.6,0.4,0.417,0.9,1.0,0.0,0.5,0.7,0.462,1.5,0.3,0.778,0.3,26.0,1.0,9.5,0.1,0.8,2.0,PG,0.3,0.2,0.6,2TM,0.59
Aaron Holiday,0.3,0.714,0.5,0.5,0.381,1.4,0.2,0.1,0.7,0.9,0.464,1.9,0.3,1.0,0.3,15.0,4.0,8.4,0.3,0.7,2.5,SF,0.1,0.3,1.0,TOR,0.607,0.1,0.2,0.5,1.0,0.476,2.1,0.1,0.1,0.4,1.1,0.423,2.6,0.3,0.75,0.4,10.0,0.0,6.7,0.1,0.5,3.5,SF,0.1,0.1,0.5,TOR,0.615,0.1,0.571,0.3,0.3,0.364,0.8,0.4,0.1,0.5,0.4,0.414,1.0,0.1,0.375,0.3,28.0,1.0,5.8,0.1,0.6,1.3,SF,0.2,0.1,0.6,TOR,0.552
Aaron Nesmith,2.5,0.415,5.9,0.7,0.318,2.3,3.2,0.2,2.0,3.2,0.388,8.2,1.5,0.76,2.0,64.0,14.0,19.5,0.4,1.3,8.6,PG,0.6,1.8,2.4,2TM,0.433,4.4,0.492,9.0,1.2,0.329,3.6,3.9,0.3,2.8,5.6,0.446,12.5,2.4,0.774,3.2,59.0,42.0,27.2,0.6,1.7,14.8,PG,0.7,2.4,3.3,NYK,0.493,2.2,0.504,4.4,0.6,0.345,1.6,2.1,0.2,2.0,2.8,0.462,6.1,1.2,0.759,1.5,54.0,2.0,15.7,0.3,1.3,7.3,PG,0.4,1.4,2.3,UTA,0.508
Aaron Wiggins,3.6,0.594,6.1,0.0,0.167,0.2,1.2,0.6,4.4,3.6,0.581,6.3,1.4,0.664,2.1,66.0,26.0,21.5,2.4,2.6,8.7,C,1.3,0.8,6.8,2TM,0.584,3.2,0.567,5.7,0.5,0.337,1.5,3.2,0.6,5.7,3.7,0.52,7.1,1.4,0.716,2.0,67.0,30.0,26.8,2.5,2.9,9.4,C,1.5,1.4,8.2,CLE,0.554,3.1,0.636,4.9,1.0,0.352,2.8,2.2,0.4,5.4,4.1,0.531,7.7,0.9,0.676,1.3,56.0,10.0,26.3,1.9,1.6,10.1,PF,1.0,1.1,7.3,CLE,0.596
Adam Flagler,0.7,0.333,2.0,0.2,0.5,0.3,0.5,0.0,1.5,0.8,0.357,2.3,0.5,0.6,0.8,6.0,0.0,4.7,0.8,1.0,2.3,C,0.2,0.5,2.3,TOR,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adama Sanogo,2.6,0.501,5.2,1.2,0.358,3.3,2.1,0.5,4.0,3.8,0.445,8.5,1.2,0.772,1.5,74.0,71.0,31.7,1.4,2.1,10.0,SF,0.6,1.2,5.4,DEN,0.515,1.1,0.478,2.3,1.2,0.373,3.1,1.6,0.4,3.3,2.2,0.418,5.4,0.4,0.72,0.5,51.0,33.0,23.1,0.9,2.4,6.0,SF,0.5,0.9,4.2,2TM,0.526,1.1,0.597,1.8,1.1,0.306,3.5,1.1,0.3,3.8,2.1,0.404,5.2,0.6,0.87,0.7,35.0,3.0,21.0,0.3,2.3,5.9,PF,0.5,1.0,4.1,BRK,0.505
Admiral Schofield,2.7,0.678,4.0,0.0,0.25,0.1,0.9,0.9,2.5,2.7,0.672,4.0,1.9,0.647,3.0,64.0,14.0,16.9,1.5,2.5,7.4,C,0.4,0.8,4.0,NOP,0.674,2.8,0.635,4.4,0.1,0.429,0.2,0.6,0.6,2.8,2.9,0.625,4.7,1.6,0.775,2.0,60.0,3.0,16.1,1.5,1.7,7.5,C,0.4,0.7,4.3,NOP,0.636,3.2,0.66,4.9,0.3,0.351,0.8,0.6,0.8,2.9,3.5,0.616,5.7,2.1,0.766,2.7,70.0,28.0,20.0,1.6,2.2,9.3,C,0.5,0.8,4.5,NOP,0.641
